appId,title,developer,developerId,developerEmail,developerWebsite,genre,genreId,categories,score,ratings,reviews,installs,realInstalls,minInstalls,price,free,currency,offersIAP,contentRating,adSupported,containsAds,released,updated,version,androidVersion,privacyPolicy,url,icon,headerImage,summary,first_keyword,matched_keywords
com.sixdays.truckerpath,Trucker Path: Truck GPS & Fuel,Trucker Path,5619698242067401460,support@truckerpath.com,http://www.truckerpath.com,Maps & Navigation,MAPS_AND_NAVIGATION,Maps & Navigation,4.7562747,73408,22239,"1,000,000+",4944754,1000000,0,True,USD,True,Everyone,True,True,"Sep 18, 2014",1774099313,6.9.6,,https://truckerpath.com/privacy-policy,https://play.google.com/store/apps/details?id=com.sixdays.truckerpath&hl=en&gl=us,https://play-lh.googleusercontent.com/tjqTaG_SPki6W6LSzjkrxoz687KzIgwU3bD6rJSjTG4Wd_A3gtbaWmuDz_4Ql-2cVLgp,https://play-lh.googleusercontent.com/ANEEcyNOjbseDFlukmpLXVu9JNSo9zNUKBbpNlfgFCCMVWnEbRCxigLgTfyvFKVDE1U3,"Truck Safe GPS Navigation & Maps: Parking, Fuel, Diesel, Weight Station",trucker,trucker;trucking;truck driver;truck gps;truck navigation;truck stop;truck fuel
com.WandaSoftware.TruckersofEurope3,Truckers of Europe 3,Wanda Software,6499943181840817817,support@wandasoftware.com,http://www.wandasoftware.com,Simulation,GAME_SIMULATION,Simulation;Vehicle;Truck sim;Casual;Single player;Stylized;Vehicles;Truck;Offline,4.31741,646805,4844,"50,000,000+",98036773,50000000,0,True,USD,True,Everyone,True,True,"Jun 19, 2022",1772717049,0.7.64,,http://wandasoftware.com/privacy-policy.html,https://play.google.com/store/apps/details?id=com.WandaSoftware.TruckersofEurope3&hl=en&gl=us,https://play-lh.googleusercontent.com/FwKtLtLulWDsEawc5dOelxZyvzTQK6gEZUmqLkpEIlVJjiyPtikvwpWEkSrsgREt9yCg,https://play-lh.googleusercontent.com/mTuPdndvRSBJPDh98it80_IumfyzWoKTJOJTLvom88O8rN0TOzTa2BhiLetex_pZB4g,Become the King of the Roads with Truckers of Europe 3!,trucker,trucker;trucking;truck driver
com.truckerguide.droid,Trucker Guide: Truck GPS Maps,Trucker Guide,Trucker+Guide,support@truckerguide.app,https://truckerguideapp.com/,Maps & Navigation,MAPS_AND_NAVIGATION,Maps & Navigation,4.2209945,2017,551,"100,000+",178903,100000,0,True,USD,True,Everyone,False,False,"Nov 8, 2022",1772732151,4.1.0,,https://www.truckerguide.app/pages/privacy-policy/,https://play.google.com/store/apps/details?id=com.truckerguide.droid&hl=en&gl=us,https://play-lh.googleusercontent.com/puCxE9SkGiByXQNFMgFSNdNzuLEJJi1yLhNRj8r_6k5xaAKdFRQRvdlDr8KUrc-4uw,https://play-lh.googleusercontent.com/KMROvAO8p1pDaP3NrFYFDtDQ7cSUw4l088cSUm48WeCumPziEyhKfDWvEZvZxkUZjRI,"Smart truck GPS with live traffic, truck stops, weigh stations & safe routes.",trucker,trucker;trucking;truck gps;truck navigation;truck stop;truck fuel
com.salebug.truckstop,Trucker Tools,Trucker Tools,Trucker+Tools,support@truckertools.com,http://www.truckertools.com,Maps & Navigation,MAPS_AND_NAVIGATION,Maps & Navigation,3.641791,9084,2966,"1,000,000+",1177688,1000000,0,True,USD,False,Everyone,False,False,"Aug 1, 2011",1770935643,10.3.1,,https://www.truckertools.com/inAppPrivacyPolicy/,https://play.google.com/store/apps/details?id=com.salebug.truckstop&hl=en&gl=us,https://play-lh.googleusercontent.com/5_GFQdjEfCvF6oA7nLf0LMmjlNMkbhtFpNevRFaPerqos18t5lHybl4Tm9F1612FUq2d,https://play-lh.googleusercontent.com/0kYLtQZGkDaGe0wtez968fxaFH9E0sdkAURo_sIZHfBBfINQRSfb1BsgqfC7fHFAFw,Explore our new and improved app! Trusted by 350k+ drivers.,trucker,trucker;trucking;load board
com.truckersreport.hammer,Hammer: Truck GPS & Maps,TruckersReport.com,TruckersReport.com,support@hammerapp.com,https://hammerapp.com/,Maps & Navigation,MAPS_AND_NAVIGATION,Maps & Navigation,4.6732564,65862,4968,"1,000,000+",1216327,1000000,0,True,USD,True,Everyone,True,True,"Jan 10, 2020",1775810446,2.24.0,,https://www.hammerapp.com/legal/privacy,https://play.google.com/store/apps/details?id=com.truckersreport.hammer&hl=en&gl=us,https://play-lh.googleusercontent.com/jd-67dYlmZsVI-mXqsVTNNGb4TQ0gg6yOf9HFMpPAENrMEEL9dGcTGQqUIsSzbP5IA,https://play-lh.googleusercontent.com/kPm2E3nXocCrs4H7mULxqdInSV_-H1lhbvT-iLiYWPrBoVsOxas8uaH3-8sNylnvD9anXCuFM9UuzbUXCcgH5A,"Commercial Truck GPS: Parking, speed limits, diesel fuel & weigh station alerts",trucker,trucker;trucking;truck gps;truck navigation;truck stop;truck fuel
com.truckmap.truckmap,TruckMap - Truck GPS Routes,Tenstreet,Tenstreet,support@truckmap.com,https://www.truckmap.com/,Maps & Navigation,MAPS_AND_NAVIGATION,Maps & Navigation,4.3918743,7959,3755,"500,000+",717309,500000,0,True,USD,False,Everyone,False,False,"Dec 31, 2018",1769194985,4.82.1,,https://truckmap.com/legal/privacy-policy,https://play.google.com/store/apps/details?id=com.truckmap.truckmap&hl=en&gl=us,https://play-lh.googleusercontent.com/AAkOu3lxVJChEsG535Vk_jznG22kB36Jj20U1Fzbd_GhiRQsJeg_x_PS9b9qtsK67IFE,https://play-lh.googleusercontent.com/TeWicWsorTilyT_9p3nT7y3N2gnMDKXFrwetCImlaMFaquowRSBjniUpCtRiL7MPP7g_,"Truck Navigation, Maps, & GPS",trucker,trucker;trucking;truck gps;truck navigation;truck stop
com.truckersocialinc,Trucker Social Inc,Trucker Social Inc,Trucker+Social+Inc,achaplin@truckersocialinc.com,https://truckerssocial.com/cms/privacy-policy,Social,SOCIAL,,0,0,0,500+,578,500,0,True,USD,False,Teen,False,False,"Jun 14, 2023",,Varies with device,,https://trucker-social-ui.dedicateddevelopers.us/cms/privacy-policy,https://play.google.com/store/apps/details?id=com.truckersocialinc&hl=en&gl=us,https://play-lh.googleusercontent.com/k50pscXaqv-OK6SjfJUfACyaYIj74pdIjb4volZFmMjjJl0bUEEhXHEBjiJGfBkcIQ,https://play-lh.googleusercontent.com/iDFQuiuOmMBdxLfV-FgLT3aOjNe4dkHXQ1aRJqW-aLBoDdoN5ZiGExdLGFOO4jPa7iYQ,Trucker Social is the platform of the future for the Trucking Community,trucker,trucker
com.ILXAM.TruckerRealWheel,Trucker Real Wheels: Simulator,Feofun Limited,Feofun+Limited,developer@feofun.com,https://feofun.com/,Simulation,GAME_SIMULATION,Simulation;Vehicle;Truck sim;Casual;Single player;Stylized;Cartoon;Vehicles;Truck;Driving;Offline,3.5067568,43482,609,"10,000,000+",23134239,10000000,0,True,USD,True,Everyone,True,True,"Oct 4, 2019",1761424187,4.13.9,,https://docs.google.com/document/d/1eVPu34qVG3Fi0Z5O2tuAPJZ-7yWdJQbVv5iySIrnbTY/edit?usp=sharing,https://play.google.com/store/apps/details?id=com.ILXAM.TruckerRealWheel&hl=en&gl=us,https://play-lh.googleusercontent.com/G7U4O_BJi39rUMRsHyn-3rJUUAQY3s0cxypsb2mqGMivQS_oRjg87S7b0S8x6HikV6bO,https://play-lh.googleusercontent.com/g0BMXdWviyza19BCPELlCwMp0Q_fqGL4gjdpZUwlbxGH-XoH8nYKDoua-ffezwZ1bK8,Play the best truck simulator 2D Off-Road Trucks Transport goods on trucks,trucker,trucker;trucking
de.sundrumdevelopment.truckerjoe,Trucker Joe,Sundrum Development,5686711575667287709,support@truckerjoe.net,https://www.truckerjoe.net,Simulation,GAME_SIMULATION,Simulation;Vehicle;Truck sim;Casual;Single player;Stylized;Offline,3.8306878,60325,994,"10,000,000+",11450977,10000000,0,True,USD,True,Everyone,True,True,"Aug 16, 2016",1757758965,0.2.37,,http://www.sundrumdevelopment.com/privacy.htm,https://play.google.com/store/apps/details?id=de.sundrumdevelopment.truckerjoe&hl=en&gl=us,https://play-lh.googleusercontent.com/jTuqAlf8R-9SE0dWH45tf6lDo4HpCVHEfqfRaTOidRRrZpnsEUDIqj3CIO3PFWPMyHk,https://play-lh.googleusercontent.com/csQJZvFeczuaKD2LjP5NWBKqomWn3VxKceRer6qWfQ86VaG4B7767RgIQmRblsSZxn2r,Trucker Joe - Get the Job done!,trucker,trucker;trucking
org.fts.findtruckservice,Find Truck Service® | Trucker,Find Truck Service,5437384238688999953,feedback@findtruckservice.com,https://www.findtruckservice.com,Maps & Navigation,MAPS_AND_NAVIGATION,Maps & Navigation,4.31,1030,496,"100,000+",137272,100000,0,True,USD,False,Everyone,False,False,"Jun 13, 2012",1756473524,7.0.5,,https://www.findtruckservice.com/privacy-policy.php,https://play.google.com/store/apps/details?id=org.fts.findtruckservice&hl=en&gl=us,https://play-lh.googleusercontent.com/t0AgwMYH5aXGf3ndIyMA_1ymg7_JOuY4A55rwGagGGHQbSCb0ZjdiAqGJNoeYHon3uo,https://play-lh.googleusercontent.com/MnKeG1YoenlrRBqR_V68F9Vi2-Vvn-waG89Kj8CLHuOuWXeVG-KANu36LI1o3MpNBA,"Free search with over 30,000 heavy duty service and stop locations nationwide.",trucker,trucker;trucking;truck stop;truck fuel
