rank_by_installs,title,developer,category,installs,ratings,reviews,rating_ratio_pct,review_ratio_pct,flags,ad_supported,offers_iap,pp_is_http,privacy_policy,appId,first_keyword,matched_keywords,url
1,Instabridge: WiFi Hotspot Map,Instabridge Sweden AB,Productivity,316305299,4059141,40822,1.2833,1.0057,rev/rat<2% (text-less stars),True,True,False,https://instabridge.com/privacy-policy/,com.instabridge.android,wifi,wifi;wifi scanner;wifi password,https://play.google.com/store/apps/details?id=com.instabridge.android&hl=en&gl=us
2,WiFi Master: WiFi Auto Connect,LINKSURE NETWORK HOLDING,Tools,231655990,3264178,10028,1.4091,0.3072,rev/rat<2% (text-less stars),True,True,False,https://en.wifi.com/polices.html,com.halo.wifikey.wifilocating,wifi,wifi,https://play.google.com/store/apps/details?id=com.halo.wifikey.wifilocating&hl=en&gl=us
3,WiFi Map: Free Wi-Fi Near You,WiFi Map LLC,Travel & Local,145424951,3017720,18259,2.0751,0.6051,rev/rat<2% (text-less stars),True,True,False,https://wifimap.notion.site/WiFi-Map-Privacy-Policy-b1928bba632f480fa8bf009c12507db4,io.wifimap.wifimap,wifi,wifi;wifi scanner;wifi password,https://play.google.com/store/apps/details?id=io.wifimap.wifimap&hl=en&gl=us
4,Truck Simulator : Ultimate,Zuuks Games,Simulation,116955949,2534398,14185,2.167,0.5597,rev/rat<2% (text-less stars),True,True,False,https://www.zuuks.com/terms-privacy,com.zuuks.truck.simulator.ultimate,trucking,trucking;truck driver,https://play.google.com/store/apps/details?id=com.zuuks.truck.simulator.ultimate&hl=en&gl=us
5,Truckers of Europe 3,Wanda Software,Simulation,98036773,646805,4844,0.6598,0.7489,rev/rat<2% (text-less stars),True,True,True,http://wandasoftware.com/privacy-policy.html,com.WandaSoftware.TruckersofEurope3,trucker,trucker;trucking;truck driver,https://play.google.com/store/apps/details?id=com.WandaSoftware.TruckersofEurope3&hl=en&gl=us
6,Truckers of Europe 2,Wanda Software,Simulation,95530567,419843,2761,0.4395,0.6576,rev/rat<2% (text-less stars),True,True,True,http://www.wandasoftware.com/privacy-policy.html,europe.truck.simulator2,trucker,trucker;truck driver,https://play.google.com/store/apps/details?id=europe.truck.simulator2&hl=en&gl=us
7,European Truck Simulator,Ovidiu Pop,Simulation,88838817,1184765,9139,1.3336,0.7714,rev/rat<2% (text-less stars),True,True,True,http://www.ovilex.com/privacy-policy/,com.ovilex.eurotruckdriver,trucking,trucking;truck driver,https://play.google.com/store/apps/details?id=com.ovilex.eurotruckdriver&hl=en&gl=us
8,Too Good To Go: End Food Waste,Too Good To Go Aps,Food & Drink,77799027,1910242,12797,2.4554,0.6699,rev/rat<2% (text-less stars),False,False,False,https://www.toogoodtogo.com/en/privacy-policy,com.app.tgtg,gasbuddy,gasbuddy,https://play.google.com/store/apps/details?id=com.app.tgtg&hl=en&gl=us
9,Fing - Network Tools,Fing Limited,Tools,74047516,869116,15696,1.1737,1.806,rev/rat<2% (text-less stars),False,True,False,https://www.fing.com/fing-privacy-policy,com.overlook.android.fing,wifi,wifi;wifi scanner,https://play.google.com/store/apps/details?id=com.overlook.android.fing&hl=en&gl=us
10,Grand Truck Simulator 2,Pulsar GameSoft,Simulation,50687972,428230,4815,0.8448,1.1244,rev/rat<2% (text-less stars),True,True,True,http://www.grandtrucksimulator.com/news/gts2-privacy-policy,com.Pulsar.GrandTruckSimulator2,trucking,trucking;truck driver,https://play.google.com/store/apps/details?id=com.Pulsar.GrandTruckSimulator2&hl=en&gl=us
11,Force LTE Only (4G/5G),Xsquare Studio,Tools,42518383,303227,1612,0.7132,0.5316,rev/rat<2% (text-less stars),True,True,False,https://xsquarestudio.com/privacy-policy,com.xsquarestudio.forcelte,lte signal,lte signal,https://play.google.com/store/apps/details?id=com.xsquarestudio.forcelte&hl=en&gl=us
12,HERE WeGo: Maps & Navigation,HERE Europe B.V.,Maps & Navigation,40773555,501189,9094,1.2292,1.8145,rev/rat<2% (text-less stars),False,False,False,https://legal.here.com/en-gb/privacy/here-wego-here-application-or-here-maps-privacy-supplement-updated,com.here.app.maps,truck gps,truck gps;truck navigation,https://play.google.com/store/apps/details?id=com.here.app.maps&hl=en&gl=us
